year,class,emirate,nationality,guests,nights
1989,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1988,5 star,abu dhabi,Other G. C. C,14233,23925
1988,4 star,abu dhabi,Other G. C. C,14825,26874
1988,3 star ,abu dhabi,Other G. C. C,0,0
1988,2 star,abu dhabi,Other G. C. C,0,0
1988,5 star,dubai,Other G. C. C,41477,95964
1988,4 star,dubai,Other G. C. C,29770,64547
1988,3 star ,dubai,Other G. C. C,26223,47360
1988,2 star,dubai,Other G. C. C,3250,6504
1988,5 star,sharjah,Other G. C. C,11068,32801
1988,4 star,sharjah,Other G. C. C,13204,47192
1988,3 star ,sharjah,Other G. C. C,0,0
1988,2 star,sharjah,Other G. C. C,0,0
1988,5 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1988,4 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1988,3 star , Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1988,2 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1988,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1988,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1988,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1988,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1987,5 star,abu dhabi,Other G. C. C,11703,26720
1987,4 star,abu dhabi,Other G. C. C,12677,20776
1987,3 star ,abu dhabi,Other G. C. C,0,0
1987,2 star,abu dhabi,Other G. C. C,0,0
1987,5 star,dubai,Other G. C. C,38798,79427
1987,4 star,dubai,Other G. C. C,35113,73460
1987,3 star ,dubai,Other G. C. C,20888,38154
1987,2 star,dubai,Other G. C. C,2441,4713
1987,5 star,sharjah,Other G. C. C,8332,21962
1987,4 star,sharjah,Other G. C. C,12157,41208
1987,3 star ,sharjah,Other G. C. C,0,0
1987,2 star,sharjah,Other G. C. C,0,0
1987,5 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1987,4 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1987,3 star , Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1987,2 star, Ajman and Umm Al-Qiwain,Other G. C. C,0,0
1987,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1987,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1987,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1987,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1986,5 star,abu dhabi,Other G. C. C,10195,24206
1986,4 star,abu dhabi,Other G. C. C,17382,25309
1986,3 star ,abu dhabi,Other G. C. C,0,0
1986,2 star,abu dhabi,Other G. C. C,0,0
1986,5 star,dubai,Other G. C. C,36728,83337
1986,4 star,dubai,Other G. C. C,30222,53701
1986,3 star ,dubai,Other G. C. C,16168,34933
1986,2 star,dubai,Other G. C. C,1844,4493
1986,5 star,sharjah and Ajman,Other G. C. C,7338,19897
1986,4 star,sharjah and Ajman,Other G. C. C,12389,40834
1986,3 star ,sharjah and Ajman,Other G. C. C,0,0
1986,2 star,sharjah and Ajman,Other G. C. C,0,0
1986,5 star, Umm Al-Qiwain,Other G. C. C,0,0
1986,4 star, Umm Al-Qiwain,Other G. C. C,0,0
1986,3 star , Umm Al-Qiwain,Other G. C. C,0,0
1986,2 star, Umm Al-Qiwain,Other G. C. C,0,0
1986,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1986,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1986,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1986,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1985,5 star,abu dhabi,Other G. C. C,8214,14933
1985,4 star,abu dhabi,Other G. C. C,13714,26639
1985,3 star ,abu dhabi,Other G. C. C,0,0
1985,2 star,abu dhabi,Other G. C. C,0,0
1985,5 star,dubai,Other G. C. C,31188,69814
1985,4 star,dubai,Other G. C. C,26159,47857
1985,3 star ,dubai,Other G. C. C,14261,28072
1985,2 star,dubai,Other G. C. C,1716,4198
1985,5 star,sharjah and Ajman,Other G. C. C,8273,21751
1985,4 star,sharjah and Ajman,Other G. C. C,12201,35814
1985,3 star ,sharjah and Ajman,Other G. C. C,0,0
1985,2 star,sharjah and Ajman,Other G. C. C,0,0
1985,5 star, Umm Al-Qiwain,Other G. C. C,0,0
1985,4 star, Umm Al-Qiwain,Other G. C. C,0,0
1985,3 star , Umm Al-Qiwain,Other G. C. C,0,0
1985,2 star, Umm Al-Qiwain,Other G. C. C,0,0
1985,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1985,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1985,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
1985,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
2005,5 star,abu dhabi,Other G. C. C,50042,114165
2005,4 star,abu dhabi,Other G. C. C,47162,72164
2005,3 star ,abu dhabi,Other G. C. C,5481,7993
2005,2 star,abu dhabi,Other G. C. C,-,-
2005,5 star,dubai,Other G. C. C,318587,764819
2005,4 star,dubai,Other G. C. C,117192,262420
2005,3 star ,dubai,Other G. C. C,231387,475829
2005,2 star,dubai,Other G. C. C,308247,486206
2005,5 star,sharjah and Ajman,Other G. C. C,13497,37297
2005,4 star,sharjah and Ajman,Other G. C. C,18302,32700
2005,3 star ,sharjah and Ajman,Other G. C. C,11513,48982
2005,2 star,sharjah and Ajman,Other G. C. C,1251,2664
2005,5 star, Umm Al-Qiwain,Other G. C. C,329,366
2005,4 star, Umm Al-Qiwain,Other G. C. C,1394,4359
2005,3 star , Umm Al-Qiwain,Other G. C. C,-,-
2005,2 star, Umm Al-Qiwain,Other G. C. C,5894,9348
2005,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,2900,5455
