year,class,item,emirate,nationality,value
1994,5 star,guests,sharjah,India,9395
1994,5 star,nights,sharjah,India,22196
1994,4 star,guests,sharjah,India,2269
1994,4star,nights,sharjah,India,14241
1994,3 star,guests,sharjah,India,0
1994,3 star,nights,sharjah,India,0
1994,2 star,guests,sharjah,India,0
1994,2 star,nights,sharjah,India,0
1994,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1994,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1994,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1994,4star,nights,Ajman and Umm Al-Qiwain,India,0
1994,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1994,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1994,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1994,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1994,5 star,guests,Ras Al Khaima & Fujeira,India,0
1994,5 star,nights,Ras Al Khaima & Fujeira,India,0
1994,4 star,guests,Ras Al Khaima & Fujeira,India,0
1994,4star,nights,Ras Al Khaima & Fujeira,India,0
1994,3 star,guests,Ras Al Khaima & Fujeira,India,0
1994,3 star,nights,Ras Al Khaima & Fujeira,India,0
1994,2 star,guests,Ras Al Khaima & Fujeira,India,0
1994,2 star,nights,Ras Al Khaima & Fujeira,India,0
1993,5 star,guests,abu dhabi,India,3077
1993,5 star,nights,abu dhabi,India,7647
1993,4 star,guests,abu dhabi,India,7735
1993,4star,nights,abu dhabi,India,36643
1993,3 star,guests,abu dhabi,India,977
1993,3 star,nights,abu dhabi,India,2256
1993,2 star,guests,abu dhabi,India,0
1993,2 star,nights,abu dhabi,India,0
1993,5 star,guests,dubai,India,8541
1993,5 star,nights,dubai,India,19543
1993,4 star,guests,dubai,India,34644
1993,4star,nights,dubai,India,85284
1993,3 star,guests,dubai,India,10517
1993,3 star,nights,dubai,India,32774
1993,2 star,guests,dubai,India,29184
1993,2 star,nights,dubai,India,81766
1993,5 star,guests,sharjah,India,8244
1993,5 star,nights,sharjah,India,22409
1993,4 star,guests,sharjah,India,3309
1993,4star,nights,sharjah,India,19477
1993,3 star,guests,sharjah,India,0
1993,3 star,nights,sharjah,India,0
1993,2 star,guests,sharjah,India,0
1993,2 star,nights,sharjah,India,0
1993,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1993,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1993,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1993,4star,nights,Ajman and Umm Al-Qiwain,India,0
1993,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1993,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1993,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1993,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1993,5 star,guests,Ras Al Khaima & Fujeira,India,0
1993,5 star,nights,Ras Al Khaima & Fujeira,India,0
1993,4 star,guests,Ras Al Khaima & Fujeira,India,0
1993,4star,nights,Ras Al Khaima & Fujeira,India,0
1993,3 star,guests,Ras Al Khaima & Fujeira,India,0
1993,3 star,nights,Ras Al Khaima & Fujeira,India,0
1993,2 star,guests,Ras Al Khaima & Fujeira,India,0
1993,2 star,nights,Ras Al Khaima & Fujeira,India,0
1992,5 star,guests,abu dhabi,India,3202
1992,5 star,nights,abu dhabi,India,7303
