year,class,item,emirate,nationality,value
1990,5 star,guests,abu dhabi,Britan,21227
1990,5 star,nights,abu dhabi,Britan,52171
1990,4 star,guests,abu dhabi,Britan,11223
1990,4star,nights,abu dhabi,Britan,65771
1990,3 star,guests,abu dhabi,Britan,329
1990,3 star,nights,abu dhabi,Britan,693
1990,2 star,guests,abu dhabi,Britan,0
1990,2 star,nights,abu dhabi,Britan,0
1990,5 star,guests,dubai,Britan,36668
1990,5 star,nights,dubai,Britan,125456
1990,4 star,guests,dubai,Britan,8812
1990,4star,nights,dubai,Britan,23040
1990,3 star,guests,dubai,Britan,532
1990,3 star,nights,dubai,Britan,1373
1990,2 star,guests,dubai,Britan,155
1990,2 star,nights,dubai,Britan,676
1990,5 star,guests,sharjah,Britan,2981
1990,5 star,nights,sharjah,Britan,9852
1990,4 star,guests,sharjah,Britan,1341
1990,4star,nights,sharjah,Britan,9289
1990,3 star,guests,sharjah,Britan,0
1990,3 star,nights,sharjah,Britan,0
1990,2 star,guests,sharjah,Britan,0
1990,2 star,nights,sharjah,Britan,0
1990,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1990,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1990,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1990,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1990,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1990,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1990,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1990,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1990,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1990,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1990,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1990,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1990,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1990,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1990,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1990,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1998,5 star,guests,abu dhabi,Britan,27202
1998,5 star,nights,abu dhabi,Britan,63270
1998,4 star,guests,abu dhabi,Britan,9849
1998,4star,nights,abu dhabi,Britan,53366
1998,3 star,guests,abu dhabi,Britan,0
1998,3 star,nights,abu dhabi,Britan,0
1998,2 star,guests,abu dhabi,Britan,0
1998,2 star,nights,abu dhabi,Britan,0
1998,5 star,guests,dubai,Britan,28212
1998,5 star,nights,dubai,Britan,139745
1998,4 star,guests,dubai,Britan,9561
1998,4star,nights,dubai,Britan,23052
1998,3 star,guests,dubai,Britan,982
1998,3 star,nights,dubai,Britan,2345
1998,2 star,guests,dubai,Britan,163
1998,2 star,nights,dubai,Britan,732
1998,5 star,guests,sharjah,Britan,3698
1998,5 star,nights,sharjah,Britan,10264
1998,4 star,guests,sharjah,Britan,1407
1998,4star,nights,sharjah,Britan,12293
1998,3 star,guests,sharjah,Britan,0
1998,3 star,nights,sharjah,Britan,0
1998,2 star,guests,sharjah,Britan,0
1998,2 star,nights,sharjah,Britan,0
1998,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1998,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1998,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1998,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1998,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1998,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1998,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1998,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1998,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1998,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1998,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1998,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1998,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1998,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1998,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1998,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1988,5 star,guests,abu dhabi,Britan,28444
1988,5 star,nights,abu dhabi,Britan,62838
1988,4 star,guests,abu dhabi,Britan,11804
1988,4star,nights,abu dhabi,Britan,39606
1988,3 star,guests,abu dhabi,Britan,0
1988,3 star,nights,abu dhabi,Britan,0
1988,2 star,guests,abu dhabi,Britan,0
1988,2 star,nights,abu dhabi,Britan,0
1988,5 star,guests,dubai,Britan,57862
1988,5 star,nights,dubai,Britan,146214
1988,4 star,guests,dubai,Britan,7691
1988,4star,nights,dubai,Britan,19307
1988,3 star,guests,dubai,Britan,181
1988,3 star,nights,dubai,Britan,663
1988,2 star,guests,dubai,Britan,15
1988,2 star,nights,dubai,Britan,34
1988,5 star,guests,sharjah,Britan,3892
1988,5 star,nights,sharjah,Britan,10949
1988,4 star,guests,sharjah,Britan,1706
1988,4star,nights,sharjah,Britan,12034
1988,3 star,guests,sharjah,Britan,0
1988,3 star,nights,sharjah,Britan,0
1988,2 star,guests,sharjah,Britan,0
1988,2 star,nights,sharjah,Britan,0
1988,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1988,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1988,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1988,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1988,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
